sku,name,price,shop,comments
1091630,【全网低价】得力(deli)双电源桌面办公计算器 12位大屏幕桌面计算机 办公文具用品 837ES,10.70￥,得力京东自营官方旗舰店,300万+条评价
8014378,晨光(M&G)文具语音型计算器 桌面办公计算机  学生/办公12位大屏幕真人语音计算器 香槟金单个装ADG98740,19.90￥,晨光京东自营官方旗舰店,20万+条评价
10070946800397,三木（SUNWOOD）P837语音计算器财务办公用计算机12位大屏显示桌面计算机 办公用品,9.50￥,豪码办公专营店,200+条评价
2187523,晨光(M&G)文具837双电源计算器 太阳能桌面计算机12位大屏幕计算器  办公用品 单个装ADG98189,10.50￥,晨光京东自营官方旗舰店,20万+条评价
12549523902,得力（deli） 计算器语音商用计算机会计专用大号多功能计算机器大按键大屏幕办公用品商务办公室 【推荐】77550语音计算器—皓月银,19.80￥,斯美奇办公用品专营店,10万+条评价
100057890187,得力(deli)12位金属面板语音计算器 水晶大按键大屏幕财务计算器 办公文具用品 中号 香槟金33560,22.40￥,得力京东自营官方旗舰店,20万+条评价
36948294019,得力（deli）837es系列双电源桌面办公计算器 12位大屏幕桌面计算机 办公文具用品 【经典款】非语音+双电源 837es,10.50￥,斯美奇办公用品专营店,2万+条评价
6083509,得力(deli)D82MS/JD82MS函数科学计算器 240种功能考试计算机(适用于初高中生) 深蓝/深灰,19.90￥,得力京东自营官方旗舰店,50万+条评价
12406102179,得力（deli） 双电源电脑按键计算器 12位大屏横式桌面计算机 财务及银行人员适用 办公用品 经典白【电脑按键 加宽屏幕】,28.80￥,斯美奇办公用品专营店,2万+条评价
61662456401,得力计算器大按键大屏幕语音型计算机真人发音财务会计办公计算器 经典款桌面计算器837es,11.50￥,名乔办公专营店,2万+条评价
66955453054,佳能Canon WS-1200H 12位商务办公计算器 大号桌面台式计算器财务会计计算器 WS-1200H（纽扣电池 螺丝刀 中性笔 ）,85.00￥,凯迪鑫发办公专营店,200+条评价
10041320283221,晨光（MG） 科学计算器多功能工程学生用一建考试专用大学小号便携四年级会计财管考研机器函数计算机考试 【升级款】陶瓷白+螺丝刀,19.80￥,晨光呵晨专卖店,5000+条评价
10112554797148,得力（deli） 双电源桌面办公计算器四年级12位大屏幕桌面小学计算机器财务会计用大屏幕办公用品 【经典款837ES】双电源-配电池,10.70￥,得力永茂专卖店,500+条评价
10091348184916,得力计算器考试专用大学科学计算器多功能公务员大学生考研一建二建会计用初中生三角函数计算机 深蓝 经典款,19.90￥,得力齐达利专卖店,2000+条评价
7088976,得力(deli)JD991CN双电源科学函数计算器 高中/大学教程考研奥数物理竞赛会计考试使用 黑,78.90￥,得力京东自营官方旗舰店,50万+条评价
10091424958892,晨光（M&G）财务计算器大号带语音大按键屏幕太阳能真人发音计算机学生考试会计专用商务办公用品 【电脑按键 财务专用】98133灰色 双电源无语音,25.80￥,晨光办公旗舰店,5000+条评价
10104640280871,B.O.W航世 太阳能计算器高颜值办公用财务会计计算机器可爱多巴胺大学生用大号键盘按键计算器商用便携 皓月白丨双电源计算器 丨太阳能+电池,35.90￥,航世数码专营店,500+条评价
70604975530,得力（deli） 计算器语音商用计算机会计专用大号多功能计算机器大按键大屏幕办公用品商务办公室 33560防锈金属面板—香槟金,20.60￥,斯美奇办公用品专营店,10万+条评价
10100440283023,函数科学计算器大学生计算机器考试专用考试财管考试专用多功能高考物理高级一建二建考研财务会计用大学考场 黑色/240种函数功能 无规格,9.80￥,俏姿妍文教文化用品专营店,1000+条评价
1630598006,得力（deli）837双电源桌面办公计算器12位大屏幕会计用太阳能学生用财务小号便携桌面计算机 【经典款】非语音+双电源 837es,10.50￥,得力官方旗舰店,10万+条评价
100011073704,晨光(M&G)文具语音型计算器 水晶按键桌面计算机 学生/办公通用12位大屏幕计算器 银色单个装ADG98101,23.90￥,晨光京东自营官方旗舰店,20万+条评价
10095753060759,计算器高颜值女神大学生办公室用多功能柔性键盘财务会计计算机器可爱网红款商用桌面大号机械按键 【渐变绿】柔性键盘计算器,19.90￥,锐耀办公专营店,500+条评价
7302251,得力(deli)大屏金色面板语音计算器 学生/财务办公 12位显示真人语音计算机 办公文具用品 大号 27559,29.90￥,得力京东自营官方旗舰店,20万+条评价
6077360,得力(deli)D82MS/JD82MS函数科学计算器 240种功能考试计算机(适用于初高中生) 学习用品纯白,19.90￥,得力京东自营官方旗舰店,50万+条评价
10111124959077,计算器方糖语音高颜值专用可爱学生办公计算机会计财务会计便携双电源计算器太阳能会计专用计算器小号便携 小号透明白色 一个,4.99￥,京喜自营官方店,5000+条评价
10103098690193,办公语音桌面计算机财务计算器会计专用大号太阳能性价比经典款学生考试经济适用得力同款晨光同款卡西欧同款 【太阳能非语音款】粉色,8.50￥,京喜自营官方店,1000+条评价
10081920981585,学得乐 计算器财务会计专用大号语音计算机器大学小学生四年级考试12位大屏幕多功能太阳能小型办公用品 双电源无语音/财务款计算器,18.80￥,创优润德学生文具专营店,500+条评价
100069368134,得力（deli）水晶按键语音计算器 12位数字显示 带闹铃/时间日期显示功能 财务办公用品 TE221清新粉,23.90￥,得力京东自营官方旗舰店,20万+条评价
100040796117,晨光(M&G)文具轻薄计算器 12位大屏幕桌面计算机 财务计算机 办公文具用品 牛奶白 单个装ADG98146I,19.90￥,晨光京东自营官方旗舰店,1万+条评价
10028132533989,谦临（QIANLIN） 小号迷你学生考试计算器静音带挂绳便携式小型计算器无声计算机无语音计算器 DC-109黑色【带绳】,9.98￥,谦临办公文具专营店,5000+条评价
100116284139,得力(deli)12位金属面板语音计算器 水晶大按键大屏幕财务计算器 办公用品 皓月银77550,19.90￥,得力京东自营官方旗舰店,20万+条评价
1091630,【全网低价】得力(deli)双电源桌面办公计算器 12位大屏幕桌面计算机 办公文具用品 837ES,10.70￥,得力京东自营官方旗舰店,300万+条评价
8014378,晨光(M&G)文具语音型计算器 桌面办公计算机  学生/办公12位大屏幕真人语音计算器 香槟金单个装ADG98740,19.90￥,晨光京东自营官方旗舰店,20万+条评价
10070946800397,三木（SUNWOOD）P837语音计算器财务办公用计算机12位大屏显示桌面计算机 办公用品,9.50￥,豪码办公专营店,200+条评价
2187523,晨光(M&G)文具837双电源计算器 太阳能桌面计算机12位大屏幕计算器  办公用品 单个装ADG98189,10.50￥,晨光京东自营官方旗舰店,20万+条评价
12549523902,得力（deli） 计算器语音商用计算机会计专用大号多功能计算机器大按键大屏幕办公用品商务办公室 【推荐】77550语音计算器—皓月银,19.80￥,斯美奇办公用品专营店,10万+条评价
66955453054,佳能Canon WS-1200H 12位商务办公计算器 大号桌面台式计算器财务会计计算器 WS-1200H（纽扣电池 螺丝刀 中性笔 ）,85.00￥,凯迪鑫发办公专营店,200+条评价
